condition,scenario,planner,k_samples,episodes,successes,success_rate,success_wilson_low,success_wilson_high,final_distance_mean,cost_mean,control_ms_mean,control_ms_p95,collision_mean
mass_1p25,box_align_detour,mppi,256,30,0,0.0,0.0,0.11351339317396876,0.6069135333333333,12.095746666666667,0.20003733333333334,0.28293025000000005,0.0
mass_1p25,box_align_detour,soppi_fast,256,30,0,0.0,0.0,0.11351339317396876,0.6074168333333334,12.084293333333333,1.9022986666666666,1.964515,0.0
mass_1p25,box_align_strict,diff_mppi_3,256,30,24,0.8,0.6269430358685175,0.9049489282271013,0.2656580333333333,3.727532666666667,2.4700143333333333,2.5252665,0.0
mass_1p25,box_align_strict,mppi,256,30,11,0.36666666666666664,0.21873920806100708,0.5448643634520511,0.33664536666666667,4.917182666666666,0.11116838333333333,0.13041055,0.0
mass_1p25,box_align_strict,soppi_fast,256,30,14,0.4666666666666667,0.30232388907699753,0.638577003801267,0.3143275,3.804527333333333,1.3199906666666665,1.350835,0.0
mass_1p25,box_swivel,diff_mppi_3,256,30,0,0.0,0.0,0.11351339317396876,0.30144323333333334,2.6294646666666663,2.427798666666667,2.4909405,0.0
mass_1p25,box_swivel,mppi,256,30,0,0.0,0.0,0.11351339317396876,0.3021081666666667,2.6240466666666666,0.09867416333333333,0.1086828,0.0
mass_1p25,box_swivel,soppi_fast,256,30,0,0.0,0.0,0.11351339317396876,0.2945154,2.4408060000000003,1.3016276666666668,1.317589,0.0
nominal,box_align_contact_arc,diff_mppi_3,256,30,18,0.6,0.42320360253322475,0.7540937188319815,0.32605533333333336,4.256942,2.4153436666666663,2.4480880000000003,0.0
nominal,box_align_contact_arc,mppi,256,30,15,0.5,0.33154125640533766,0.6684587435946623,0.3526662,5.099626,0.10917493333333333,0.1151356,0.0
nominal,box_align_contact_arc,soppi_fast,256,30,20,0.6666666666666666,0.4878005164454384,0.8076950191632386,0.32457250000000004,3.9162806666666667,1.3262656666666668,1.3374045,0.0
nominal,box_align_contact_loss,diff_mppi_3,256,30,20,0.6666666666666666,0.4878005164454384,0.8076950191632386,0.29242418666666664,3.6207446666666665,2.426057,2.449706,0.0
nominal,box_align_contact_loss,mppi,256,30,12,0.4,0.24590628116801852,0.5767963974667752,0.33836896000000005,5.510923,0.10694862666666666,0.11878095,0.0
nominal,box_align_contact_loss,soppi_fast,256,30,15,0.5,0.33154125640533766,0.6684587435946623,0.3164594,4.393546333333333,1.3250163333333334,1.332795,0.0
nominal,box_align_detour,diff_mppi_3,256,30,0,0.0,0.0,0.11351339317396876,0.6060777666666667,12.108730000000001,3.31182,3.3257505,0.0
nominal,box_align_detour,mppi,256,30,0,0.0,0.0,0.11351339317396876,0.6075759000000001,12.091893333333333,0.15853266666666668,0.1756048,0.0
nominal,box_align_detour,soppi_fast,256,30,0,0.0,0.0,0.11351339317396876,0.6070320333333333,12.075733333333334,1.8448236666666666,1.898058,0.0
nominal,box_align_strict,diff_mppi_3,256,30,22,0.7333333333333333,0.555520383048111,0.8581733668040368,0.28217773333333335,3.8514273333333335,2.433387,2.4677439999999997,0.0
nominal,box_align_strict,mppi,256,30,13,0.43333333333333335,0.2737748557646652,0.6080269299918639,0.3196641333333333,4.673696333333334,0.10649393,0.11430749999999999,0.0
nominal,box_align_strict,soppi_fast,256,30,12,0.4,0.24590628116801852,0.5767963974667752,0.3262850333333333,3.981026,1.3005766666666667,1.3148404999999999,0.0
nominal,box_swivel,diff_mppi_3,256,30,0,0.0,0.0,0.11351339317396876,0.29369683333333335,2.5505546666666663,2.411311333333333,2.4732785,0.0
