condition,scenario,planner,baseline,k_samples,paired_episodes,success_delta,success_delta_ci_low,success_delta_ci_high,final_distance_delta,final_distance_delta_ci_low,final_distance_delta_ci_high,candidate_only_successes,baseline_only_successes,mcnemar_p,mcnemar_holm_p
friction_0p9,box_align_contact_arc,diff_mppi_3,mppi,256,30,0.06666666666666667,-0.16666666666666666,0.3,-0.02910653333333333,-0.07073516583333332,0.011796062499999987,7,5,0.7744140625,1.0
friction_0p9,box_align_contact_arc,soppi_fast,mppi,256,30,0.06666666666666667,-0.2,0.3333333333333333,-0.009655233333333327,-0.05620295249999999,0.03722724166666665,9,7,0.803619384765625,1.0
friction_0p9,box_align_contact_loss,diff_mppi_3,mppi,256,30,0.36666666666666664,0.1,0.6,-0.07216533333333335,-0.12027972166666667,-0.024393431666666666,15,4,0.0192108154296875,1.0
friction_0p9,box_align_contact_loss,soppi_fast,mppi,256,30,0.1,-0.13416666666666638,0.36666666666666664,-0.016141033333333332,-0.07394560916666666,0.04307916833333325,9,6,0.60723876953125,1.0
friction_0p9,box_align_detour,diff_mppi_3,mppi,256,30,0.0,0.0,0.0,0.00189180000000001,0.0001458766666666909,0.0035354025000000223,0,0,1.0,1.0
friction_0p9,box_align_detour,soppi_fast,mppi,256,30,0.0,0.0,0.0,0.0018469666666666718,-0.0010895449999999928,0.0050571241666666645,0,0,1.0,1.0
friction_0p9,box_align_strict,diff_mppi_3,mppi,256,30,0.23333333333333334,0.0,0.4666666666666667,-0.06480012666666667,-0.12173865083333332,-0.009690559833333367,11,4,0.11846923828125,1.0
friction_0p9,box_align_strict,soppi_fast,mppi,256,30,0.16666666666666666,-0.06666666666666667,0.4,-0.06328439,-0.11402206250000001,-0.010997992166666673,10,5,0.3017578125,1.0
friction_0p9,box_swivel,diff_mppi_3,mppi,256,30,0.0,0.0,0.0,0.005478366666666665,-0.007167036666666667,0.01943732166666666,0,0,1.0,1.0
friction_0p9,box_swivel,soppi_fast,mppi,256,30,0.0,0.0,0.0,0.0011051666666666664,-0.020613064166666663,0.021900674166666627,0,0,1.0,1.0
mass_0p75,box_align_contact_arc,diff_mppi_3,mppi,256,30,0.23333333333333334,-0.03333333333333333,0.4666666666666667,-0.02734633333333333,-0.06573821166666666,0.012529314166666625,12,5,0.143463134765625,1.0
mass_0p75,box_align_contact_arc,soppi_fast,mppi,256,30,0.3,0.1,0.5,-0.027844733333333333,-0.06551270333333332,0.010520276666666656,11,2,0.0224609375,1.0
mass_0p75,box_align_contact_loss,diff_mppi_3,mppi,256,30,0.1,-0.13333333333333333,0.3333333333333333,-0.0529078,-0.08728776583333334,-0.01702256833333336,8,5,0.5810546875,1.0
mass_0p75,box_align_contact_loss,soppi_fast,mppi,256,30,-0.03333333333333333,-0.2341666666666664,0.2,-0.012153266666666674,-0.05055657916666668,0.026594848333333292,5,6,1.0,1.0
mass_0p75,box_align_detour,diff_mppi_3,mppi,256,30,0.0,0.0,0.0,-0.002388266666666657,-0.0037698116666666677,-0.0010121208333333134,0,0,1.0,1.0
mass_0p75,box_align_detour,soppi_fast,mppi,256,30,0.0,0.0,0.0,6.130000000000116e-05,-0.0015743758333333204,0.0019994975000000156,0,0,1.0,1.0
mass_0p75,box_align_strict,diff_mppi_3,mppi,256,30,0.5,0.26666666666666666,0.7,-0.0711402,-0.11481276666666666,-0.027852700833333344,17,2,0.000728607177734375,0.0495452880859375
mass_0p75,box_align_strict,soppi_fast,mppi,256,30,0.06666666666666667,-0.16666666666666666,0.3,-0.020227266666666664,-0.05806293166666666,0.017745931666666652,8,6,0.79052734375,1.0
mass_0p75,box_swivel,diff_mppi_3,mppi,256,30,0.0,0.0,0.0,-0.002209633333333329,-0.012745677500000002,0.009128396666666667,0,0,1.0,1.0
mass_0p75,box_swivel,soppi_fast,mppi,256,30,0.0,0.0,0.0,-0.0023912333333333314,-0.02098123166666667,0.01252682666666666,0,0,1.0,1.0
mass_1p25,box_align_contact_arc,diff_mppi_3,mppi,256,30,0.4,0.23333333333333334,0.5666666666666667,-0.06050574,-0.09174450599999999,-0.03270904400000005,12,0,0.00048828125,0.03369140625
mass_1p25,box_align_contact_arc,soppi_fast,mppi,256,30,0.2,-0.03333333333333333,0.43333333333333335,-0.0315352,-0.06093945499999999,-0.00107867333333338,10,4,0.1795654296875,1.0
mass_1p25,box_align_contact_loss,diff_mppi_3,mppi,256,30,0.36666666666666664,0.1,0.6,-0.05461600666666667,-0.09724980466666665,-0.013573266166666724,15,4,0.0192108154296875,1.0
mass_1p25,box_align_contact_loss,soppi_fast,mppi,256,30,0.1,-0.1,0.3,-0.0065644666666666695,-0.04392619250000001,0.030649451666666667,7,4,0.548828125,1.0
mass_1p25,box_align_detour,diff_mppi_3,mppi,256,30,0.0,0.0,0.0,-0.0011649666666666558,-0.002656680833333311,0.0003160100000000179,0,0,1.0,1.0
mass_1p25,box_align_detour,soppi_fast,mppi,256,30,0.0,0.0,0.0,0.0005033000000000029,-0.0010342408333333223,0.0020900100000000098,0,0,1.0,1.0
mass_1p25,box_align_strict,diff_mppi_3,mppi,256,30,0.43333333333333335,0.19916666666666696,0.6666666666666666,-0.07098733333333333,-0.09986735916666667,-0.04349031083333333,16,3,0.004425048828125,0.287628173828125
mass_1p25,box_align_strict,soppi_fast,mppi,256,30,0.1,-0.2,0.36666666666666664,-0.022317866666666665,-0.05417905583333333,0.011876254999999978,11,8,0.6476058959960938,1.0
mass_1p25,box_swivel,diff_mppi_3,mppi,256,30,0.0,0.0,0.0,-0.0006649333333333267,-0.013456864999999997,0.014259863333333345,0,0,1.0,1.0
mass_1p25,box_swivel,soppi_fast,mppi,256,30,0.0,0.0,0.0,-0.00759276666666667,-0.022226301666666667,0.004780959166666657,0,0,1.0,1.0
nominal,box_align_contact_arc,diff_mppi_3,mppi,256,30,0.1,-0.16666666666666666,0.36666666666666664,-0.02661086666666667,-0.06674920333333333,0.014383397500000002,10,7,0.629058837890625,1.0
nominal,box_align_contact_arc,soppi_fast,mppi,256,30,0.16666666666666666,-0.06666666666666667,0.4,-0.0280937,-0.06570057333333333,0.007361765833333316,10,5,0.3017578125,1.0
nominal,box_align_contact_loss,diff_mppi_3,mppi,256,30,0.26666666666666666,0.03333333333333333,0.5,-0.04594477333333334,-0.08502443316666666,-0.009170781000000048,11,3,0.057373046875,1.0
nominal,box_align_contact_loss,soppi_fast,mppi,256,30,0.1,-0.13333333333333333,0.3333333333333333,-0.021909559999999998,-0.05764389066666666,0.01638782433333332,8,5,0.5810546875,1.0
nominal,box_align_detour,diff_mppi_3,mppi,256,30,0.0,0.0,0.0,-0.0014981333333333401,-0.003287215000000009,0.0002399108333333264,0,0,1.0,1.0
nominal,box_align_detour,soppi_fast,mppi,256,30,0.0,0.0,0.0,-0.000543866666666674,-0.002013842500000013,0.0009187441666666537,0,0,1.0,1.0
nominal,box_align_strict,diff_mppi_3,mppi,256,30,0.3,0.06666666666666667,0.5,-0.037486399999999996,-0.06540392583333333,-0.011125200833333342,11,2,0.0224609375,1.0
nominal,box_align_strict,soppi_fast,mppi,256,30,-0.03333333333333333,-0.26666666666666666,0.16666666666666666,0.006620900000000004,-0.025982703333333315,0.04130683583333334,5,6,1.0,1.0
nominal,box_swivel,diff_mppi_3,mppi,256,30,0.0,0.0,0.0,-0.008242466666666668,-0.0177410125,0.0008343233333333213,0,0,1.0,1.0
nominal,box_swivel,soppi_fast,mppi,256,30,0.03333333333333333,0.0,0.1,-0.013881933333333337,-0.033594800833333334,0.002662882499999982,1,0,1.0,1.0
sensor_noise_high,box_align_contact_arc,diff_mppi_3,mppi,256,30,0.3,0.13333333333333333,0.4666666666666667,-0.03093639999999999,-0.056597965833333326,-0.006757510000000014,9,0,0.00390625,0.2578125
sensor_noise_high,box_align_contact_arc,soppi_fast,mppi,256,30,0.23333333333333334,0.0,0.4666666666666667,-0.026519066666666657,-0.05492281833333332,0.0003388825000000123,11,4,0.11846923828125,1.0
sensor_noise_high,box_align_contact_loss,diff_mppi_3,mppi,256,30,0.23333333333333334,0.0,0.4666666666666667,-0.06403896666666667,-0.09582340083333331,-0.03412783750000008,10,3,0.09228515625,1.0
sensor_noise_high,box_align_contact_loss,soppi_fast,mppi,256,30,-0.06666666666666667,-0.3,0.16666666666666666,-0.018147483333333336,-0.061602451666666676,0.025818751666666657,5,7,0.7744140625,1.0
sensor_noise_high,box_align_detour,diff_mppi_3,mppi,256,30,0.0,0.0,0.0,0.00022250000000001064,-0.0010993716666666622,0.0014707391666666863,0,0,1.0,1.0
sensor_noise_high,box_align_detour,soppi_fast,mppi,256,30,0.0,0.0,0.0,0.0011443000000000128,-0.0005657674999999824,0.002999336666666682,0,0,1.0,1.0
sensor_noise_high,box_align_strict,diff_mppi_3,mppi,256,30,0.13333333333333333,-0.13333333333333333,0.36666666666666664,-0.019281833333333328,-0.05073034083333333,0.011945548333333335,10,6,0.454498291015625,1.0
sensor_noise_high,box_align_strict,soppi_fast,mppi,256,30,-0.13333333333333333,-0.36666666666666664,0.1,-0.006367099999999997,-0.03187364833333333,0.01916701083333333,5,9,0.4239501953125,1.0
sensor_noise_high,box_swivel,diff_mppi_3,mppi,256,30,0.03333333333333333,-0.06666666666666667,0.13333333333333333,-0.01229903333333333,-0.03272816083333333,0.003737531666666669,2,1,1.0,1.0
sensor_noise_high,box_swivel,soppi_fast,mppi,256,30,-0.03333333333333333,-0.1,0.0,-0.0010205999999999974,-0.018890915833333334,0.013428774166666655,0,1,1.0,1.0
sensor_noise_nominal,box_align_contact_arc,diff_mppi_3,mppi,256,30,0.0,-0.23333333333333334,0.23333333333333334,-0.020345233333333334,-0.0461001525,0.004494949999999972,6,6,1.0,1.0
sensor_noise_nominal,box_align_contact_arc,soppi_fast,mppi,256,30,-0.03333333333333333,-0.26666666666666666,0.2,0.0008067666666666658,-0.03219401333333334,0.0337964124999999,6,7,1.0,1.0
sensor_noise_nominal,box_align_contact_loss,diff_mppi_3,mppi,256,30,0.23333333333333334,-0.03333333333333333,0.5,-0.04942411333333333,-0.09102982783333334,-0.009033747000000005,12,5,0.143463134765625,1.0
sensor_noise_nominal,box_align_contact_loss,soppi_fast,mppi,256,30,0.06666666666666667,-0.13333333333333333,0.26666666666666666,0.007366466666666668,-0.0375960975,0.05491628833333325,6,4,0.75390625,1.0
sensor_noise_nominal,box_align_detour,diff_mppi_3,mppi,256,30,0.0,0.0,0.0,-0.0019998666666666645,-0.0034059341666666603,-0.0006120141666666693,0,0,1.0,1.0
sensor_noise_nominal,box_align_detour,soppi_fast,mppi,256,30,0.0,0.0,0.0,-0.0006036333333333347,-0.002065529166666665,0.0009705124999999999,0,0,1.0,1.0
sensor_noise_nominal,box_align_strict,diff_mppi_3,mppi,256,30,0.23333333333333334,0.0,0.4666666666666667,-0.0584062,-0.09529943416666667,-0.025175930000000006,11,4,0.11846923828125,1.0
sensor_noise_nominal,box_align_strict,soppi_fast,mppi,256,30,0.03333333333333333,-0.23333333333333334,0.3,-0.027586866666666664,-0.07049637833333332,0.012688415833333333,8,7,1.0,1.0
sensor_noise_nominal,box_swivel,diff_mppi_3,mppi,256,30,0.0,0.0,0.0,-0.004664000000000001,-0.01373246666666667,0.003970718333333326,0,0,1.0,1.0
sensor_noise_nominal,box_swivel,soppi_fast,mppi,256,30,0.0,0.0,0.0,-0.007148733333333342,-0.024505433333333337,0.00843722333333331,0,0,1.0,1.0
