condition,scenario,planner,k_samples,episodes,successes,success_rate,success_wilson_low,success_wilson_high,final_distance_mean,cost_mean,control_ms_mean,control_ms_p95,collision_mean
gain_1p2,box_align_contact_arc,diff_mppi_1,256,30,29,0.9666666666666667,0.8332960900859082,0.9940914096183874,0.29574876666666666,2.778062333333333,0.8783810666666666,0.8845122000000001,0.0
gain_1p2,box_align_contact_arc,diff_mppi_1,512,30,30,1.0,0.8864866068260312,0.9999999999999999,0.2955987,2.6784236666666668,0.9202092666666667,0.92996155,0.0
gain_1p2,box_align_contact_arc,diff_mppi_3,128,30,28,0.9333333333333333,0.7867654163738308,0.9815229762087295,0.29532736666666665,2.907661333333333,2.4659210000000003,2.4998765,0.0
gain_1p2,box_align_contact_arc,diff_mppi_3,256,30,30,1.0,0.8864866068260312,0.9999999999999999,0.29383086666666663,2.566270333333333,2.4399063333333335,2.4526719999999997,0.0
gain_1p2,box_align_contact_arc,diff_mppi_3,512,30,30,1.0,0.8864866068260312,0.9999999999999999,0.29464356666666663,2.5178636666666665,2.474568333333333,2.482648,0.0
gain_1p2,box_align_contact_arc,mppi,128,30,18,0.6,0.42320360253322475,0.7540937188319815,0.30319566666666664,4.234112666666666,0.09324829333333333,0.09992099499999998,0.0
gain_1p2,box_align_contact_arc,mppi,256,30,16,0.5333333333333333,0.36142299619873297,0.6976761109230025,0.30206696666666666,4.046301333333333,0.09973719333333333,0.10642,0.0
gain_1p2,box_align_contact_arc,mppi,512,30,18,0.6,0.42320360253322475,0.7540937188319815,0.30221396666666667,3.771679,0.1420246,0.14749495,0.0
gain_1p2,box_align_contact_arc,mppi_hardmodel,128,30,0,0.0,0.0,0.11351339317396876,0.9205563666666666,27.395699999999998,0.12413566666666667,0.13187269999999998,0.0
gain_1p2,box_align_contact_arc,mppi_hardmodel,256,30,0,0.0,0.0,0.11351339317396876,0.9080561666666667,22.941266666666664,0.13733303333333333,0.15080355,0.0
gain_1p2,box_align_contact_arc,mppi_hardmodel,512,30,0,0.0,0.0,0.11351339317396876,0.9000690333333333,20.154586666666667,0.17487696666666666,0.18974045,0.0
gain_1p2,box_align_contact_arc,soppi,128,30,16,0.5333333333333333,0.36142299619873297,0.6976761109230025,0.3045755,4.326314999999999,0.28235166666666667,0.2902288,0.0
gain_1p2,box_align_contact_arc,soppi,256,30,17,0.5666666666666667,0.3919730700081361,0.7262251442353347,0.30287699999999995,3.872817333333333,0.3786720333333333,0.38673884999999997,0.0
gain_1p2,box_align_contact_arc,soppi,512,30,12,0.4,0.24590628116801852,0.5767963974667752,0.3034572333333333,3.986679666666667,0.5942063,0.60535975,0.0
gain_1p2,box_align_contact_arc,soppi_fast,128,30,26,0.8666666666666667,0.703186733179637,0.9469034451594526,0.29817319999999997,3.379703,1.2628353333333335,1.2741255000000002,0.0
gain_1p2,box_align_contact_arc,soppi_fast,256,30,25,0.8333333333333334,0.6643564949358398,0.9266345762815145,0.29908176666666664,3.189406,1.3460846666666666,1.3533335,0.0
gain_1p2,box_align_contact_arc,soppi_fast,512,30,27,0.9,0.7437891742081593,0.9654001112526658,0.29789903333333334,2.9815633333333333,1.5422306666666665,1.5472709999999998,0.0
gain_1p2,box_align_contact_loss,diff_mppi_1,128,30,25,0.8333333333333334,0.6643564949358398,0.9266345762815145,0.28096313333333334,3.2214206666666665,0.8589569,0.86864575,0.0
gain_1p2,box_align_contact_loss,diff_mppi_1,256,30,28,0.9333333333333333,0.7867654163738308,0.9815229762087295,0.27750553333333333,2.8891183333333337,0.8776122,0.88954785,0.0
gain_1p2,box_align_contact_loss,diff_mppi_1,512,30,24,0.8,0.6269430358685175,0.9049489282271013,0.2779127,3.029904,0.9324293666666666,0.94522245,0.0
