condition,scenario,planner,baseline,k_samples,paired_episodes,success_delta,success_delta_ci_low,success_delta_ci_high,final_distance_delta,final_distance_delta_ci_low,final_distance_delta_ci_high,candidate_only_successes,baseline_only_successes,mcnemar_p,mcnemar_holm_p
gain_1p2,box_align_contact_loss,diff_mppi_3,mppi,512,30,1.0,1.0,1.0,-0.021529499999999993,-0.02445118666666667,-0.018600040833333338,30,0,1.862645149230957e-09,6.705522537231445e-07
gain_1p2,box_align_contact_loss,soppi_fast,mppi,512,30,0.4666666666666667,0.3,0.6333333333333333,-0.011902033333333334,-0.014709910833333333,-0.009196200000000003,14,0,0.0001220703125,0.039794921875
gain_1p2,box_align_detour,diff_mppi_3,mppi,128,30,0.0,0.0,0.0,-0.03217676666666666,-0.03651101916666666,-0.027582889999999995,0,0,1.0,1.0
gain_1p2,box_align_detour,soppi_fast,mppi,128,30,0.0,0.0,0.0,-0.01154576666666667,-0.014748602500000008,-0.008463918333333334,0,0,1.0,1.0
gain_1p2,box_align_detour,diff_mppi_3,mppi,256,30,0.0,0.0,0.0,-0.038416399999999996,-0.0434656975,-0.033450520000000004,0,0,1.0,1.0
gain_1p2,box_align_detour,soppi_fast,mppi,256,30,0.0,0.0,0.0,-0.012940700000000001,-0.015444552500000007,-0.010289297500000008,0,0,1.0,1.0
gain_1p2,box_align_detour,diff_mppi_3,mppi,512,30,0.0,0.0,0.0,-0.0407925,-0.0436131625,-0.037734886666666675,0,0,1.0,1.0
gain_1p2,box_align_detour,soppi_fast,mppi,512,30,0.0,0.0,0.0,-0.014250666666666668,-0.01611206416666667,-0.012354983333333337,0,0,1.0,1.0
gain_1p2,box_align_strict,diff_mppi_3,mppi,128,30,0.7333333333333333,0.5666666666666667,0.8666666666666667,-0.03853166666666667,-0.08291368416666668,-0.013857143333333344,22,0,4.76837158203125e-07,0.00016927719116210938
gain_1p2,box_align_strict,soppi_fast,mppi,128,30,0.3333333333333333,0.16666666666666666,0.5,-0.05065393333333334,-0.1137718,-0.007155491666666676,10,0,0.001953125,0.58984375
gain_1p2,box_align_strict,diff_mppi_3,mppi,256,30,0.7333333333333333,0.5666666666666667,0.8666666666666667,-0.017841833333333338,-0.02275757083333334,-0.012964790000000012,22,0,4.76837158203125e-07,0.00016927719116210938
