file,score,kernels,kernel_loops,nested_kernel_loops,d2h,h2d,syncs,atomics,allocations,transcendentals,large_local_arrays,signals
src/mini_isaac_rl.cu,24,6,2,0,2,2,1,0,21,3,0,D2H+H2D round trip; 1 explicit sync
src/social_force.cu,24,2,1,0,2,6,1,0,8,6,0,D2H+H2D round trip; 1 explicit sync; 6 transcendental sites
src/normal_estimation.cu,23,1,5,0,0,0,1,0,0,0,2,5 kernel loops; 1 explicit sync; 2 symbolic local arrays
src/benchmark_rrt.cu,22,1,1,0,2,4,3,0,9,0,0,D2H+H2D round trip; 3 explicit sync
src/occupancy_grid_map.cu,22,1,1,0,2,2,1,3,2,4,0,D2H+H2D round trip; 1 explicit sync; 3 atomics; 4 transcendental sites
src/comparison_multi_robot.cu,21,1,2,0,2,6,0,0,6,4,0,D2H+H2D round trip; 4 transcendental sites
src/comparison_multi_robot_visual.cu,21,1,2,0,2,6,0,0,6,4,0,D2H+H2D round trip; 4 transcendental sites
src/comparison_rrt.cu,21,2,1,0,3,5,2,0,8,1,0,D2H+H2D round trip; 2 explicit sync
src/comparison_rrt3d.cu,21,2,1,0,3,7,2,0,10,1,0,D2H+H2D round trip; 2 explicit sync
src/gpu_label_propagation.cu,21,2,3,0,2,3,1,0,5,0,0,3 kernel loops; D2H+H2D round trip; 1 explicit sync
src/neuroevo.cu,21,1,1,0,2,1,4,0,5,0,0,D2H+H2D round trip; 4 explicit sync
src/rrt.cu,21,2,1,0,3,5,2,0,8,1,0,D2H+H2D round trip; 2 explicit sync
src/bcpd_gpu.cu,20,3,3,0,3,3,0,0,6,0,0,3 kernel loops; D2H+H2D round trip
src/benchmark_mppi_control_update.cu,20,2,3,0,2,2,1,0,4,0,0,3 kernel loops; D2H+H2D round trip; 1 explicit sync
src/comparison_lidar3d_realistic.cu,20,3,0,0,11,1,1,0,8,5,0,D2H+H2D round trip; 1 explicit sync; 5 transcendental sites
src/comparison_occupancy_grid.cu,20,1,1,0,1,2,0,3,2,4,0,D2H+H2D round trip; 3 atomics; 4 transcendental sites
src/comparison_voxel_map.cu,20,2,1,0,1,1,0,3,2,4,0,D2H+H2D round trip; 3 atomics; 4 transcendental sites
src/gpu_bcpd.cu,20,3,3,0,3,3,0,0,6,0,0,3 kernel loops; D2H+H2D round trip
src/gpu_mppi_racing.cu,20,3,2,0,3,3,0,0,7,2,0,D2H+H2D round trip
src/gpu_gnn_swarm_controller.cu,19,4,1,0,3,1,1,0,4,5,0,D2H+H2D round trip; 1 explicit sync; 5 transcendental sites
src/comparison_rrtstar_rewire.cu,18,2,1,0,2,4,2,0,5,1,0,D2H+H2D round trip; 2 explicit sync
src/gpu_graph_crf_traversability.cu,18,2,1,0,2,2,3,0,4,0,0,D2H+H2D round trip; 3 explicit sync
src/gpu_pcg_solver.cu,18,3,1,0,3,5,1,0,11,0,0,D2H+H2D round trip; 1 explicit sync
src/gpu_sgm_stereo.cu,18,3,1,0,2,2,1,1,6,0,0,D2H+H2D round trip; 1 explicit sync; 1 atomics
src/gpu_spectral_clustering.cu,18,3,2,0,1,3,1,0,5,0,0,D2H+H2D round trip; 1 explicit sync
src/comparison_reeds_shepp_fan.cu,17,2,1,0,5,1,0,0,8,1,0,D2H+H2D round trip
src/gpu_label_propagation_traversability.cu,17,2,1,0,2,1,3,0,3,0,0,D2H+H2D round trip; 3 explicit sync
src/potential_field_3d.cu,17,1,1,0,1,4,1,0,5,2,0,D2H+H2D round trip; 1 explicit sync
src/rrt_connect.cu,17,1,2,0,2,10,0,0,6,0,0,D2H+H2D round trip
src/comparison_neuroevo.cu,16,0,0,0,1,2,3,0,5,0,0,D2H+H2D round trip; 3 explicit sync
src/gpu_best_response_graph_mppi.cu,16,1,1,0,4,4,0,0,8,0,0,D2H+H2D round trip
src/gpu_correlative_scan_matching.cu,16,1,1,0,1,3,1,0,4,2,0,D2H+H2D round trip; 1 explicit sync
src/gpu_csm_loop_closure_slam.cu,16,1,1,0,1,3,1,0,4,2,0,D2H+H2D round trip; 1 explicit sync
src/gpu_csm_submap_slam.cu,16,1,1,0,1,3,1,0,4,2,0,D2H+H2D round trip; 1 explicit sync
src/gpu_graph_guided_neural_mppi.cu,16,1,1,0,4,6,0,0,10,0,0,D2H+H2D round trip
src/gpu_iterative_game_graph_mppi.cu,16,1,1,0,4,4,0,0,8,0,0,D2H+H2D round trip
src/gpu_kinodynamic_graph_neural_mppi.cu,16,1,1,0,4,6,0,0,10,0,0,D2H+H2D round trip
src/gpu_learned_safety_dual_graph_mppi.cu,16,1,1,0,5,6,0,0,8,0,0,D2H+H2D round trip
src/gpu_noregret_game_graph_mppi.cu,16,1,1,0,4,4,0,0,8,0,0,D2H+H2D round trip
src/gpu_planner_showdown_benchmark.cu,16,1,1,0,5,6,0,0,8,0,0,D2H+H2D round trip
src/gpu_safe_noregret_game_graph_mppi.cu,16,1,1,0,5,6,0,0,8,0,0,D2H+H2D round trip
src/gpu_trainable_safety_dual_graph_mppi.cu,16,1,1,0,5,6,0,0,8,0,0,D2H+H2D round trip
src/gpu_batched_ilqr.cu,15,1,1,0,1,3,1,0,5,0,0,D2H+H2D round trip; 1 explicit sync
src/gpu_interaction_graph_risk.cu,15,3,2,0,2,1,0,0,4,0,0,D2H+H2D round trip
src/gpu_mcts_planner.cu,15,2,0,0,2,2,1,2,4,0,0,D2H+H2D round trip; 1 explicit sync; 2 atomics
src/gpu_wavefront_planner.cu,15,1,1,0,4,5,0,2,3,0,0,D2H+H2D round trip; 2 atomics
src/potential_field.cu,15,1,1,0,1,2,1,0,3,2,0,D2H+H2D round trip; 1 explicit sync
src/comparison_collision_check.cu,14,1,1,0,4,1,0,0,5,1,0,D2H+H2D round trip
src/dijkstra.cu,14,1,1,0,1,2,1,0,3,1,0,D2H+H2D round trip; 1 explicit sync
src/gpu_belief_risk_graph_mppi.cu,14,1,1,0,4,2,0,0,6,0,0,D2H+H2D round trip
src/gpu_gaussian_splatting.cu,14,2,1,0,2,3,0,0,5,1,0,D2H+H2D round trip
src/gpu_intent_graph_neural_mppi.cu,14,1,1,0,4,2,0,0,6,0,0,D2H+H2D round trip
src/gpu_jfa_edt.cu,14,1,1,0,2,4,1,0,4,0,0,D2H+H2D round trip; 1 explicit sync
src/gpu_lk_optical_flow.cu,14,1,0,0,3,4,1,0,7,0,0,D2H+H2D round trip; 1 explicit sync
src/gpu_reciprocal_risk_planner.cu,14,3,1,0,2,1,1,0,3,1,0,D2H+H2D round trip; 1 explicit sync
src/a_star.cu,13,1,1,0,1,2,1,0,3,0,0,D2H+H2D round trip; 1 explicit sync
src/benchmark_mppi_diagnostics.cu,13,2,0,0,2,1,0,1,6,0,0,D2H+H2D round trip; 1 atomics
src/comparison_astar.cu,13,1,1,0,1,2,1,0,3,0,0,D2H+H2D round trip; 1 explicit sync
src/comparison_dijkstra.cu,13,1,1,0,1,2,1,0,3,0,0,D2H+H2D round trip; 1 explicit sync
src/comparison_potential_field.cu,13,1,1,0,1,2,0,0,3,2,0,D2H+H2D round trip
src/gpu_kdtree_nn.cu,13,1,0,0,1,8,0,0,9,0,0,D2H+H2D round trip
src/gpu_multiagent_graph_neural_mppi.cu,13,1,1,0,4,1,0,0,5,0,0,D2H+H2D round trip
src/gpu_priority_graph_neural_mppi.cu,13,1,1,0,4,1,0,0,5,0,0,D2H+H2D round trip
src/test_gpu_mlp.cu,12,0,0,0,1,4,0,0,7,0,0,D2H+H2D round trip
src/benchmark_mppi_softmin.cu,11,2,0,0,2,2,0,0,5,1,0,D2H+H2D round trip
src/comparison_lidar3d_sim.cu,11,1,0,0,5,1,0,0,6,0,0,D2H+H2D round trip
src/gpu_tsdf_fusion.cu,11,1,0,0,2,2,1,0,4,0,0,D2H+H2D round trip; 1 explicit sync
src/ransac_plane.cu,11,2,1,0,2,0,2,0,3,1,0,2 explicit sync
src/comparison_lidar_sim.cu,10,1,1,0,1,1,0,0,2,0,0,D2H+H2D round trip
src/gpu_marching_cubes.cu,10,1,0,0,2,1,1,0,3,0,0,D2H+H2D round trip; 1 explicit sync
src/gpu_cma_es.cu,9,1,0,0,2,2,1,0,2,0,0,D2H+H2D round trip; 1 explicit sync
src/mini_isaac.cu,7,1,0,0,3,0,1,0,4,1,0,1 explicit sync
src/benchmark_pointcloud.cu,6,0,0,0,3,0,0,0,6,0,0,
src/test_autodiff.cu,6,1,0,0,1,0,1,0,1,3,0,1 explicit sync
src/value_iteration.cu,6,1,1,0,2,0,0,0,3,0,0,
src/gpu_nerf_volume.cu,5,1,1,0,1,0,0,0,1,1,0,
src/sdf_potential_field.cu,4,1,0,0,1,0,1,0,1,1,0,1 explicit sync
src/gpu_planner_falsifier_benchmark.cu,1,1,0,0,1,0,0,0,1,0,0,
src/diff_e2e_slam.cu,0,0,0,0,0,0,0,0,0,0,0,
src/gpu_filterreg.cu,0,0,0,0,0,0,0,0,0,0,0,
src/neural_sdf.cu,0,0,0,0,0,0,0,0,0,0,0,
